titlu	pret	oras	grad_finisare	descriere	tip_oferta	persoana	etaj	vechime_imobil	numar_bai	numar_balcoane	geamuri_termopan	centrala_termica	compatimentare	parchet	confort	gresie	faianta	zugravit_lavabil	loc_parcare	agentie	numar_camere	strada	suprafata	cartier	link	modificari_interioare	balcoane_inchise	aer_conditionat	loc_in_pod	loc_in_pivnita	uscator
Vand garsoniera in cartierul Marasti	33 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cojocnei,  suprafata 22 mp,  etajul parter/4,  finisata clasic,  gresie,  faianta,  geamuri termopan,  mobilata si utilata. Pret 33000 euro negociabil.			Parter				Da	Nu		Da		Da	Da	Nu				Cojocnei 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7589667	Nu		Nu			
Vand garsoniera in cartierul Manastur	46 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Agentia Piacenza vinde garsoniera in cartierul Manastur ,  zona strazii Bucegi,  suprafata 28 mp + balcon,  etaj 8/10,  finisata,  parchet,  gresie,  faianta,  usa metalica,  mobilata si utilata. Pret 46000 euro			Etajul 8				Nu	Nu		Da		Da	Da	Nu				Bucegi 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7455624	Nu		Nu			
Vand garsoniera in cartierul Manastur	42 500 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Bucegi,  suprafata 32 mp,  balcon,  etajul 8/10,  finisata,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata complet. Pret 42500 euro.			Etajul 8				Da	Nu		Da		Da	Da	Nu				Bucegi 	32mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7589665	Nu		Nu			
Vand garsoniera in cartierul Marasti	29 900 EUR	Cluj-Napoca, Cluj, Marasti	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cojocnei,  suprafata 20 mp,  etajul 1/4,  finisata clasic,  gresie,  faianta,  geamuri termopan,  bucatarie mobilata,  bloc izolat. Pret 29900 euro negociabil.			Etajul 1				Da	Nu		Nu		Da	Da	Nu				Cojocnei 	20mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7543522	Nu		Nu			
Vand garsoniera in cartierul Iris	28 500 EUR	Cluj-Napoca, Cluj, Iris	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Iris,  zona strazii Muncii,  suprafata 22 mp,  etajul 4/4,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopan,  izolat. Pret 28500 euro			Etajul 4				Da	Nu		Da		Da	Da	Nu				Muncii 	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7365225	Nu		Nu			
Vand garsoniera in cartierul Marasti	33 500 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cernei,  suprafata 22 mp,  etaj parter,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopa,  mobilata si utilata. Pret 33500 euro.			Parter				Da	Nu		Da		Da	Da	Nu				Cernei 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7513323	Nu		Nu			
Vand garsoniera in cartierul Manastur	35 800 EUR	Cluj-Napoca, Cluj, Manastur	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Garbau,  suprafata de 23 mp ,  etaj 4/4,  finisata modern,  geamuri termopan,  mobilata,  izolata. Pret 35800 euro			Etajul 4				Nu	Nu		Da		Da	Da	Nu				Garbau 	23mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7538934	Nu		Nu			
Vand garsoniera in cartierul Marasti	40 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Fabricii,  suprafata 21 mp,  etajul 1/4,  finisata modern,  parchet,  gresie,  faianta,  centrala termica,  geamuri termopan,  usa metalica,  mobilata,  bloc reabilitat termic. Pret 40000 euro.			Etajul 1				Nu	Nu		Nu		Nu	Nu	Nu				Fabricii 	21mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7508831	Nu		Nu			
Vand garsoniera in cartierul Marasti	51 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Teodor Mihali,  suprafata 22 mp + balcon,  etaj 6/8 ,  finisat modern,  geamuri termopan,  usa metalica,  mobilata si utilata,  aproape de FSEGA,  ideala pentru investitie,  chirie 300 euro. Pret 51000 euro.			Etajul 6				Da	Nu		Da		Da	Nu	Nu				Teodor Mihali 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7347337	Nu		Nu			
Vand garsoniera in cartierul Marasti	34 900 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Rasaritului,  suprafata 24 mp + balcon inchis,  etajul 4/4,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopan. Pret 34900 euro			Etajul 4				Da	Nu		Da		Da	Da	Nu				Rasaritului 	34900mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7326345	Nu		Nu			
Vand garsoniera in cartierul Manastur	35 000 EUR	Cluj-Napoca, Cluj, Manastur	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Garbau,  suprafata 21 mp,  etajul 3/4,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata,  izolata exterior,  aproape de mijloacele de transport,  magazine. Pret 35000 euro negociabil.			Etajul 3				Da	Nu		Da		Da	Da	Nu				Garbau 	21mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7513267	Nu		Nu			
Vand garsoniera in cartierul Manastur	46 500 EUR	Cluj-Napoca, Cluj, Manastur	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Negoiu,  suprafata de 24 mp + balcon,  etaj 1/4,  finisata modern,  centrala termica,  mobilata. Pret 46500 euro			Etajul 1				Nu	Da		Da		Da	Da	Nu				Negoiu 	24mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7528394	Nu		Nu			
Vand garsoniera in cartierul Marasti	35 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cojocnei,  suprafata 22mp,  etajul 1/4,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata si utilata. Pret 35000 euro			Etajul 1				Da	Nu		Da		Da	Da	Nu				Cojocnei 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7538929	Nu		Nu			
Vanzare garsoniera	30 000 EUR	Cluj-Napoca, Cluj, Iris	Finisat modern	    Agentia  Piacenza  intermediaza  vanzare garsoniera,  suprfata  20mp in bloc reabilitat termic  pe B-dul Muncii ,  zona Politehnica la 5 statii de autobus distanta fata de Iulius Mall – FSEGA  finisata mobilata parchet faianta gresie geamuri termopan contor de gaz . Pret  30000 euro			Etajul 4				Da	Nu		Da		Da	Da	Nu				Muncii 	20mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7377739	Nu		Nu			
Vand garsoniera in cartierul Manastur	50 000 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Grigore Alexandrescu,  suprafata de 28 mp + balcon inchis,  etaj 8/10,  finisata clasic,  parchet,  gresie,  faianta,  mobilata. Pret 50000 euro negociabil			Etajul 8				Nu	Nu		Da		Da	Da	Nu				Grigore Alexandrescu 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7564701	Nu		Nu			
Vand garsoniera in cartierul Marasti	34 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cojocnei,  suprafata 22 mp ,  etaj parter/4 ,  finisat clasic,  geamuri termopan,  mobilata,  izolat. Pret 34000 euro.			Parter				Da	Nu		Da		Da	Da	Nu				Cernei 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7357149	Nu		Nu			
Vand garsoniera in cartierul Gheorgheni	50 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Gheorgheni ,  zona strazii Brancusi,  suprafata 28 mp + balcon ,  etaj 3/10,  finisata clasic,  parchet,  gresie,  faianta . Pret 50000 euro			Etajul 3				Nu	Nu		Da		Da	Da	Nu				Brancusi 	28mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7380197	Nu		Nu			
Vand garsoniera in cartierul Marasti	35 500 EUR	Cluj-Napoca, Cluj, Marasti	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Cernei,  suprafata 20 mp,  etajul 1/4,  finisata clasic,  parchet,  gresie,  faianta,  geamuri termopan,  centrala termica,  mobilata. Pret 35500 euro			Etajul 1				Da	Da		Da		Da	Da	Nu				Cernei 	20mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7308609	Nu		Nu			
Vand garsoniera in cartierul Marasti	44 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Dambovitei,  suprafata 30 mp,  balcon inchis,  etajul 4/4,  finisata modern,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata si utilata. Pret 44000 euro negociabil			Etajul 4				Da	Nu		Da		Da	Da	Nu				Dambovitei 	30mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7538931	Nu		Nu			
VAnd apartament 1 camera, central situat, in S=42mp, str. Nasaud, la 3 min ...	59 900 EUR	Cluj-Napoca, Cluj, Centru	Necesita renovare	    Vand apartament o camera,  central situat,  str. Nasaud,  et.3/7,  decomandat,  compus din camera,  bucatarie,  baie,  balcon,  2 debarale, un hol la intrare,  cu C.T, usa antiefractie,  izolat exterior,  finisaje clasice,  locatie excelenta la 3 min de Iulius-Moll,  la 3 min de centru,  pret 59900eur.	Vand	Agentie Imobiliara	Etajul 3	mai vechi de 2000	1	1	Nu	Da	Decomandat	Nu	Sporit	Nu	Nu	Nu	Nu	Venetia	1 	Nasaud 	42mp 	Centru	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7601620	Nu	Nu	Nu	Nu	Nu	Nu
Vand garsoniera in cartierul Iris	27 000 EUR	Cluj-Napoca, Cluj, Iris	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Iris,  zona strazii Muncii,  suprafata 22 mp,  etajul 3/4,  finisata clasic,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  centrala termica,   mobilata,  camara,  izolata. Pret 27000 euro			Etajul 3				Da	Da		Da		Da	Da	Nu				Muncii 	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7339808	Nu		Nu			
Vand garsoniera in cartierul Marasti	38 000 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti,  zona strazii Fabricii,  suprafata 22 mp,  etajul 2 din 4,  finisat modern,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilat,  bloc reabilitat termic. Pret 38000 euro.			Etajul 2				Da	Nu		Da		Da	Da	Nu		Piacenza		Fabricii 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7091880	Nu		Nu			
Vand garsoniera in cartierul Gheorgheni	49 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Gheorgheni,  zona strazii Detunata,  suprafata 28 mp+balcon ,  etajul 2/10,  finisata modern,  geamuri termopan, mobilata si utilata. Pret 49000 euro.			Etajul 2				Da	Nu		Da		Da	Da	Nu				Detunata 	28mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7259326	Nu		Nu			
Vand garsoniera in cartierul Plopilor	42 000 EUR	Cluj-Napoca, Cluj, Plopilor	Finisat modern	    Agentia Piacenza vinde garsoniera  in cartierul Plopilor,  zona strazii Plopilor,  suprafata de 21 mp ,  p/4,  finisata  modern,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata si utilata. Pret 42000 euro negociabil.			Parter				Da	Nu		Da		Da	Da	Nu				Plopilor 	21mp 	Plopilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7390937	Nu		Nu			
Vand garsoniera in cartierul Marasti	38 800 EUR	Cluj-Napoca, Cluj, Marasti	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Marasti ,  zona strazii Rasaritului,  suprafata 25 mp + balcon inchis,  etaj 1/4,  finisata modern,  geamuri termopan,  usa metalica,  mobilata si utilata,  loc de parcare . Pret 38800 euro			Etajul 1				Da	Nu		Da		Da	Da	Nu				Rasaritului 	25mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7378042	Nu		Nu			
Vand garsoniera in cartierul Manastur	44 000 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Bucegi,  suprafata 28 mp  + balcon,  etaj 9/10,  finisata clasic,  geamuri termopan,  mobilata . Pret 44000 euro			Etajul 9				Da	Nu		Da		Da	Da	Nu				Bucegi 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7375724	Nu		Nu			
Vand garsoniera in cartierul Manastur	46 500 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Manastur,  zona strazii Parang,  suprafata 28 mp + balcon,  etajul 1/4,  finisata clasic,  parchet,  gresie,  faianta,  izolat. Pret 46500 euro			Etajul 1				Nu	Nu		Da		Da	Da	Nu				Parang 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7326344	Nu		Nu			
Vand garsoniera in cartierul Gheorgheni	49 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	    Agentia Piacenza vinde garsoniera in cartierul Gheorgheni,  zona strazii T Mihali,  suprafata 23 mp+balcon,  etajul 4/7,  finisata,  parchet,  gresie,  faianta,  mobilata. Pret 49000 euro.			Etajul 4				Nu	Nu		Nu		Nu	Nu	Nu				Teodor Mihali 	23mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7508830	Nu		Nu			
Vand garsoniera in cartierul Manastur	44 700 EUR	Cluj-Napoca, Cluj, Manastur	Finisat modern	    Agentia Piacenza vinde garsoniera in cartierul Manastur ,  zona strazii Tazlau,  suprafata 24 mp + balcon,  etaj 2/4,  finisata modern,  parchet,  gresie,  faianta. Pret 44700 euro			Etajul 2				Nu	Nu		Da		Da	Da	Nu				Tazlau 	24mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7455622	Nu		Nu			
Vand apartament cu 2 camere in cartierul Manastur	71 900 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    Agentia Piacenza vinde apartament cu 2 camere in cartierul Manastur,  zona strazii Calea Floresti,  decomandat,  suprafata 50 mp,  balcon,  etaj 6/8,  finisat clasic,  centrala termica,  izolat,  mobilat . Pret 71900 euro negociabil.			Etajul 6				Nu	Da		Nu		Nu	Nu	Nu				Calea Floresti 	50mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7543523	Nu		Nu			
Vand garsoniera in cartierul Gheorgheni	50 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Finisat clasic	    Agentia Piacenza vinde garsoniera in cartierul Gheorgheni,  zona strazii Detunata,  suprafata de 32 mp,  balcon,  p/10,  finisata clasic,  parchet,  gresie,  faianta,  geamuri termopan,  usa metalica,  mobilata si utilata clasic. Pret 50000 euro.			Parter				Da	Nu		Da		Da	Da	Nu				Detunata 	32mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7390943	Nu		Nu			
